lemma,"poscode","surface"
Bathurst Island,"0","Bathurst Island"
Bathurst,"0","Bathurst"
Batman,"0","Batman"
Batna,"0","Batna"
Baton Rouge,"0","Baton Rouge"
Batsfjord,"0","Batsfjord"
Battambang,"0","Battambang"
Battle Creek,"0","Battle Creek"
Batumi,"0","Batumi"
Bau-Bau,"0","Bau-Bau"
Baudette,"0","Baudette"
Bauru,"0","Bauru"
Bay City,"0","Bay City"
Bayamo,"0","Bayamo"
Bayankhongor,"0","Bayankhongor"
Bayannur,"0","Bayannur"
Bayreuth,"0","Bayreuth"
Bearskin Lake,"0","Bearskin Lake"
Beaufort,"0","Beaufort"
Beaumont,"0","Beaumont"
Beauvais,"0","Beauvais"
Beaver Creek,"0","Beaver Creek"
Beaver Falls,"0","Beaver Falls"
Beaver,"0","Beaver"
Beckley,"0","Beckley"
Bedford,"0","Bedford"
Bedourie,"0","Bedourie"
Bedwell Harbour,"0","Bedwell Harbour"
Beer-sheba,"0","Beer-sheba"
Beica,"0","Beica"
Beihai,"0","Beihai"
Beihan,"0","Beihan"
Beijing,"0","Beijing"
Beira,"0","Beira"
Beirut,"0","Beirut"
Bejaja,"0","Bejaja"
Bekily,"0","Bekily"
Belaga,"0","Belaga"
Belem,"0","Belem"
Belfast,"0","Belfast"
Belfort,"0","Belfort"
Belgaum,"0","Belgaum"
Belgorod,"0","Belgorod"
Belgrade,"0","Belgrade"
Belize City,"0","Belize City"
Bella Bella,"0","Bella Bella"
Bella Coola,"0","Bella Coola"
Bellary,"0","Bellary"
Belleville,"0","Belleville"
Bellingham,"0","Bellingham"
Belmopan,"0","Belmopan"
Belo Horizonte,"0","Belo Horizonte"
Belo sur Tsiribihina,"0","Belo sur Tsiribihina"
Beloyarsky,"0","Beloyarsky"
Bembridge,"0","Bembridge"
Bemidji,"0","Bemidji"
Benbecula,"0","Benbecula"
Bengbu,"0","Bengbu"
Benghazi,"0","Benghazi"
Bengkulu,"0","Bengkulu"
Benguela,"0","Benguela"
Beni Mellal,"0","Beni Mellal"
Beni,"0","Beni"
Benin,"0","Benin"
Benton,"0","Benton"
Bentonville,"0","Bentonville"
Bequia,"0","Bequia"
Berbera,"0","Berbera"
Berberati,"0","Berberati"
Berdyansk,"0","Berdyansk"
Berens River,"0","Berens River"
Berezovo,"0","Berezovo"
Bergamo,"0","Bergamo"
Bergen,"0","Bergen"
Bergerac,"0","Bergerac"
Berlevag,"0","Berlevag"
Berlin,"0","Berlin"
Bermejo,"0","Bermejo"
Bermuda,"0","Bermuda"
Bern,"0","Bern"
Beru Island,"0","Beru Island"
Besalampy,"0","Besalampy"
Beslan,"0","Beslan"
