lemma,"poscode","surface"
CRQ,"0","CRQ"
CRV,"0","CRV"
CRW,"0","CRW"
CRZ,"0","CRZ"
CSA,"0","CSA"
CSB,"0","CSB"
CSC,"0","CSC"
CSF,"0","CSF"
CSG,"0","CSG"
CSH,"0","CSH"
CSK,"0","CSK"
CSO,"0","CSO"
CSV,"0","CSV"
CSX,"0","CSX"
CSY,"0","CSY"
CTA,"0","CTA"
CTB,"0","CTB"
CTC,"0","CTC"
CTD,"0","CTD"
CTG,"0","CTG"
CTH,"0","CTH"
CTJ,"0","CTJ"
CTL,"0","CTL"
CTM,"0","CTM"
CTN,"0","CTN"
CTS,"0","CTS"
CTT,"0","CTT"
CTU,"0","CTU"
CTY,"0","CTY"
CUA,"0","CUA"
CUB,"0","CUB"
CUC,"0","CUC"
CUE,"0","CUE"
CUF,"0","CUF"
CUL,"0","CUL"
CUM,"0","CUM"
CUN,"0","CUN"
CUP,"0","CUP"
CUQ,"0","CUQ"
CUR,"0","CUR"
CUU,"0","CUU"
CUZ,"0","CUZ"
CVE,"0","CVE"
CVF,"0","CVF"
CVG,"0","CVG"
CVJ,"0","CVJ"
CVM,"0","CVM"
CVN,"0","CVN"
CVO,"0","CVO"
CVQ,"0","CVQ"
CVS,"0","CVS"
CVT,"0","CVT"
CVU,"0","CVU"
CVX,"0","CVX"
CWA,"0","CWA"
CWB,"0","CWB"
CWC,"0","CWC"
CWI,"0","CWI"
CWL,"0","CWL"
CWT,"0","CWT"
CXB,"0","CXB"
CXH,"0","CXH"
CXI,"0","CXI"
CXJ,"0","CXJ"
CXL,"0","CXL"
CXO,"0","CXO"
CXP,"0","CXP"
CXR,"0","CXR"
CXY,"0","CXY"
CYB,"0","CYB"
CYF,"0","CYF"
CYI,"0","CYI"
CYO,"0","CYO"
CYP,"0","CYP"
CYR,"0","CYR"
CYS,"0","CYS"
CYT,"0","CYT"
CYU,"0","CYU"
CYW,"0","CYW"
CYX,"0","CYX"
CYZ,"0","CYZ"
CZA,"0","CZA"
CZE,"0","CZE"
CZF,"0","CZF"
CZG,"0","CZG"
CZL,"0","CZL"
CZM,"0","CZM"
CZS,"0","CZS"
CZU,"0","CZU"
CZX,"0","CZX"
DAA,"0","DAA"
DAB,"0","DAB"
DAC,"0","DAC"
DAD,"0","DAD"
DAG,"0","DAG"
DAL,"0","DAL"
DAM,"0","DAM"
DAN,"0","DAN"
DAR,"0","DAR"
DAT,"0","DAT"
DAU,"0","DAU"
DAV,"0","DAV"
DAW,"0","DAW"
DAX,"0","DAX"
DAY,"0","DAY"
DBA,"0","DBA"
DBB,"0","DBB"
DBD,"0","DBD"
DBM,"0","DBM"
DBN,"0","DBN"
DBO,"0","DBO"
